GEOID,population_18_up,degree_18_up,attainment_rate
19001,5643,864,.15311004
19003,2998,475,.15843897
19005,10766,1803,.16747168
19007,9795,1675,.17100562
19009,4556,571,.12532924
19011,19480,3939,.20220739
19013,104196,24988,.23981726
19015,20381,4622,.22677985
19017,19281,4953,.25688502
19019,15457,2751,.17797762
19021,15157,2677,.17661807
19023,11411,1846,.16177373
19025,7759,1368,.17631137
19027,15408,3257,.2113837
19029,10358,1875,.1810195
19031,14192,3055,.21526212
19033,34202,7191,.21025087
19035,9110,1629,.17881449
19037,9283,1424,.15339869
19039,7036,1113,.15818647
19041,12634,2670,.2113345
19043,13844,2041,.14742848
19045,36672,6553,.17869219
19047,12833,1586,.12358762
19049,57882,27267,.47107908
19051,6258,1042,.16650687
19053,6379,1119,.17541935
19055,13166,2205,.16747683
19057,30768,5630,.18298233
19059,13742,3850,.28016299
19061,74235,20342,.27402169
19063,7574,1401,.18497491
19065,15863,2897,.18262623
19067,12313,2457,.19954519
19069,7947,1260,.1585504
19071,5437,1049,.19293728
19073,7031,1394,.19826482
19075,9439,2355,.24949677
19077,8270,1641,.19842805
19079,11725,2619,.22336887
19081,8507,1682,.19771953
19083,13481,2698,.20013352
19085,10960,1851,.16888686
19087,15440,2863,.18542746
19089,7004,982,.14020559
19091,7344,1400,.19063181
19093,5337,980,.18362376
19095,12419,2348,.18906514
19097,15086,2639,.17493039
19099,28587,4829,.16892293
19101,14482,4624,.3192929
19103,115187,49738,.43180221
19105,16021,2637,.16459647
19107,7919,1343,.16959213
19109,11846,2258,.19061287
19111,27261,3963,.14537251
19113,167857,49891,.29722324
19115,8630,1188,.13765933
19117,6618,1037,.15669386
19119,8426,1702,.20199382
19121,11646,2548,.21878757
19123,16945,3720,.21953379
19125,25186,5819,.23104106
19127,30305,5431,.17921135
19129,11379,2368,.20810264
19131,8089,1305,.16133021
19133,7088,1115,.15730813
19135,5984,952,.15909091
19137,7890,1173,.1486692
19139,32071,6396,.19943251
19141,10690,1963,.18362956
19143,4703,781,.16606422
19145,12275,2350,.19144602
19147,7069,1658,.2345452
19149,18720,3658,.19540599
19151,5439,825,.15168229
19153,349675,115069,.32907414
19155,71165,13956,.19610764
19157,14796,2850,.19261962
19159,3811,714,.1873524
19161,7729,1462,.18915772
19163,130282,38360,.29443821
19165,9116,1827,.20041685
19167,25268,6194,.24513218
19169,79694,27828,.34918565
19171,13064,2066,.15814452
19173,4767,640,.13425635
19175,9637,1430,.14838643
19177,5549,743,.133898
19179,27351,4756,.17388761
19181,36449,10096,.27698976
19183,16593,3326,.20044596
19185,4831,635,.13144277
19187,28984,5228,.18037538
19189,8293,1584,.19100446
19191,16720,4071,.24348086
19193,75519,15205,.20134006
19195,5859,905,.15446322
19197,9874,1653,.16740936
20001,9786,1739,.17770284
20003,5878,1039,.17676081
20005,12576,2325,.18487595
20007,3730,703,.18847185
20009,20540,3179,.15477118
20011,10989,1930,.17563018
20013,7241,1432,.19776274
20015,49076,13058,.2660771
20017,2053,475,.23136874
20019,2696,420,.15578635
20021,15556,2716,.17459501
20023,2092,500,.23900573
20025,1579,508,.3217226
20027,6228,1402,.22511239
20029,7124,1346,.1889388
20031,6504,1295,.19910824
20033,1351,235,.17394522
20035,27175,4940,.18178473
20037,30583,7612,.24889645
20039,2338,488,.20872541
20041,14527,2811,.19350176
20043,6216,902,.1451094
20045,95540,37949,.39720535
20047,2254,407,.18056788
20049,2045,308,.15061125
20051,22657,6724,.29677361
20053,5182,990,.19104593
20055,25543,3929,.15381905
20057,24060,3799,.15789692
20059,19307,3571,.18495883
20061,24699,4276,.17312442
20063,2062,452,.21920465
20065,2055,545,.26520681
20067,5264,747,.14190729
20069,4242,829,.19542669
20071,931,268,.28786251
20073,4912,872,.17752443
20075,1866,292,.15648445
20077,4345,727,.16731876
20079,26022,7096,.27269232
20081,2902,440,.15161957
20083,1468,329,.22411445
20085,9929,1908,.19216436
20087,14440,2851,.19743767
20089,2387,390,.163385
20091,433257,220995,.51007831
20093,2778,339,.12203024
20095,5862,1283,.21886729
20097,1970,488,.24771574
20099,15681,2591,.16523181
20101,1295,282,.21776062
20103,60261,17243,.28613862
20105,2416,443,.18336093
20107,7381,959,.1299282
20109,2130,383,.17981221
20111,25821,6012,.23283374
20113,22092,5871,.26575232
20115,9495,2087,.21979989
20117,7536,1342,.17807856
20119,3154,570,.18072289
20121,24636,5926,.24054229
20123,4869,1046,.21482851
20125,25576,4349,.17004223
20127,4426,750,.16945323
20129,2211,266,.12030755
20131,7452,1666,.22356415
20133,12169,2142,.17602104
20135,2344,452,.19283277
20137,4485,684,.15250836
20139,12173,2345,.19263946
20141,2889,619,.214261
20143,4517,975,.21585123
20145,5527,938,.16971232
20147,4179,834,.19956927
20149,16424,5007,.30485874
20151,7317,1715,.23438568
20153,2031,509,.25061545
20155,48857,8924,.1826555
20157,3803,858,.22561136
20159,7614,1487,.19529814
20161,62919,19407,.3084442
20163,3975,963,.24226415
20165,2477,554,.22365765
20167,5518,1247,.22598767
20169,42090,9661,.22953196
20171,3750,954,.25440001
20173,376362,105199,.27951548
20175,15747,1668,.10592494
20177,135242,37777,.27932891
20179,1903,444,.23331581
20181,4571,810,.17720412
20183,2960,571,.19290541
20185,3218,676,.21006836
20187,1479,321,.21703854
20189,3978,623,.15661137
20191,17500,3390,.19371429
20193,6082,1335,.21950017
20195,2324,534,.22977625
20197,5213,1096,.21024363
20199,1162,306,.26333907
20201,4290,814,.18974359
20203,1571,303,.19287078
20205,6744,1001,.14842823
20207,2502,332,.13269384
20209,117391,18170,.15478188
21001,15415,2153,.13966915
21003,15718,2077,.1321415
21005,16697,3076,.18422471
21007,6334,849,.13403852
21009,33115,4906,.14815038
21011,9099,962,.10572591
21013,21604,1871,.086604334
21015,93557,27553,.29450494
21017,15456,2765,.17889492
21019,38173,6976,.18274696
21021,23766,4726,.1988555
21023,6271,798,.12725243
21025,10491,1190,.11343056
